1rafay,anas
2wasiawsoowsawowwiwsawsswoosaawoooiwwwssooiowaiasoaiiaasaswaawwiwia,aahhannshhnnahanhshshnsshahnaaasaashassssnanasnahsshhhnaaansaasaas
3ssoswaaoawwiiowiiswasowsowisowiaiwaoowisoiawiiiswiwaoawwowwiwissws,hsaaanaaanhhannnanssnhaanasnaannaaaahanhaahhnhaanaaaasaanaasshsaaa
4issosowsioooiaissaoaowaiosssssiissiiawwosiisssoasoswsawoioassasass,sanasahnaaananaannaashanaanaahnssahahhasnahasshassahannsassnhnsann
5wwwaooisiwissaoiswsosswswswiwowaosawisoiaiawiasooswwiawaassoowiaio,assanhhasasahnsshnsnnaahaahasnaaaasaahahaahnhasnhhahhhanannhassnna
6osooisoiwooasoaiiiasowiaosswowwwoiwiwiosiwawoaoiwawassiswssowissaw,hhahaanshansassshaaasaaasaaanshahnnaansnaassahssaaasananahhhaansss
7iiaoaasswawoswooowoosiooiowoswoaoowowssasioowawawwowwaiasiosisawos,hanassnsnhaashhnsaaanahnsahnhnnnsaannanahaahhaanhahshhasaahnnhhhhn
8iwwooiwoosswwaaiwaioaawssaaosiiwwwawssaooaawwsawsososwaaoaswwsasaw,aassasshsnahnhhnsnnsnahssssshansnaashaahaashassnnhnhnanahaaannaaas
9oowwwioisioissiooooswosoooawwasiaassaisaoaiswaoiwaososwsiowiiwswso,nsasaahsaaahassahansasnsaaaaaanhsnsaahhashahaaaaaaanhhanhhnasnaahs
10asaasoioiiiosiaioaaiwawiawiisiswwowswsowaiwowoososaaowsaoaswiiosoo,hasanaaaanahannaasshnnnahasanhaashsnanaashhhshaansansanhahanhasss
1 aaiwasaisawawiwioaiiaswsioaaaiaowaaaoioiww,sssanhaannsaaahhsasshaanaaahhhahsnahhsssnh
2 aoaooawaawiwoisswwiaawowoowaswossassassaii,snhnaaahhshasanasanaassnaahnnhsnshhsnnsnan
3 owwwoiiaoiaasiwwaoisoswwoswaiiiwoaowsiosii,hnhaanaahnsssansannhhahahhaasnnsahahhhhaah
4 oswioawiowoosoioiwswaiiiwasosoaaaosoooswaw,aasananshnasaaaanhsanaahahnnanashnanhsaaha
5 oossswsowaiiswwswsosiaoaiooswsssswoiwaisoa,aansnnnnhsnahaanaaaanhhnaannshssnnhasannas
6 wasiasaawsisoaaowwsswiaiowwswowsaiowaaaowo,aahnhasaashannananasshasaaaahnaaaasashhhan
7 aiwiasswoioiwasosooaooiaaaiaowsoisaaiiwiio,sahsaashhasshahaannnahansaanshnnsaaaanhaaa
8 swsiosowisaoawiaiwsswsasiaswsioswwaoossowa,aassahanahsahahshsshsnhhanssaaaaanahshaahh
9 awwsissioiswaosiswaaoaiiooowwwswwowiaasoai,nsnnsssshnhaaanahaanhshhsasshsahanhnannans
10 aoowwiiaiwswiwwasiawiiasoioaoaiiaoswwooosi,aaashhanaanaaaasannnsaasassnanhaansaasaaan
1 aowwoiisoawaisawioaoaoaooswsiwioaaoaoaiosaoas,nnhhanssanhnshsnanhnhnsassaaasnnnashhsassnsha
2 ooaoiioaoasiwwoaiswswaoiwwwwwasaoiwaaaasoisoo,haahaaaaansashhhahaananhhnaaasnnhnnaaaashaash
3 osaiiaioowsssissiawiowoosioswaiwioaawwasiiowi,saasnshhhhsaanhsasasashsnhanhnanhsnahnhaanaan
4 iiaoiwsioiaisaiswiowaoiioaiiiawwsiiwiiiwiawoa,shhsahsnaannssnahasahsnsnsahnsaahahassanhhhah
5 sisiwoiowwssaaoowawaawiwaoaiosiiissoisooawaio,aaaaaanhanhahhashsshaanhaahnnsahnahhnanasasnn
6 ioaaowiooaowwiswoiwsaasiooawisoiwaaiwawawissw,anasasnhaasnnsanasahhhhshasnshaansssaaaansnas
7 iwoiswsiwwsoosswsioioosiasiiosoooioiiaaaoiasa,hasnansaahshhhaanhssahnsahshhnhhnanhnasananss
8 iiwiiowwioawsiosiwosasaaaoiwsiwiwosiaisiioios,nhashhsnaasaaannahhhhsnsnaaanaanassahahnaasan
9 aoowiaaosawwiaiwiwsiaisisioaowioisiaoioaaoosw,sanasnhhaaaaaaaaahannahsnaaahsnanaannaannassh
10 aisoossiswaawowoiaiiswsssiaaoioaiiaoowooawawo,snanaasnahsaanshahnhnahhasshnasnahnnaasanssaa
