1rafay,anas
2wasiawsoowsawowwiwsawsswoosaawoooiwwwssooiowaiasoaiiaasaswaawwiwia,aahhannshhnnahanhshshnsshahnaaasaashassssnanasnahsshhhnaaansaasaas
3ssoswaaoawwiiowiiswasowsowisowiaiwaoowisoiawiiiswiwaoawwowwiwissws,hsaaanaaanhhannnanssnhaanasnaannaaaahanhaahhnhaanaaaasaanaasshsaaa
4issosowsioooiaissaoaowaiosssssiissiiawwosiisssoasoswsawoioassasass,sanasahnaaananaannaashanaanaahnssahahhasnahasshassahannsassnhnsann
5wwwaooisiwissaoiswsosswswswiwowaosawisoiaiawiasooswwiawaassoowiaio,assanhhasasahnsshnsnnaahaahasnaaaasaahahaahnhasnhhahhhanannhassnna
6osooisoiwooasoaiiiasowiaosswowwwoiwiwiosiwawoaoiwawassiswssowissaw,hhahaanshansassshaaasaaasaaanshahnnaansnaassahssaaasananahhhaansss
7iiaoaasswawoswooowoosiooiowoswoaoowowssasioowawawwowwaiasiosisawos,hanassnsnhaashhnsaaanahnsahnhnnnsaannanahaahhaanhahshhasaahnnhhhhn
8iwwooiwoosswwaaiwaioaawssaaosiiwwwawssaooaawwsawsososwaaoaswwsasaw,aassasshsnahnhhnsnnsnahssssshansnaashaahaashassnnhnhnanahaaannaaas
9oowwwioisioissiooooswosoooawwasiaassaisaoaiswaoiwaososwsiowiiwswso,nsasaahsaaahassahansasnsaaaaaanhsnsaahhashahaaaaaaanhhanhhnasnaahs
10asaasoioiiiosiaioaaiwawiawiisiswwowswsowaiwowoososaaowsaoaswiiosoo,hasanaaaanahannaasshnnnahasanhaashsnanaashhhshaansansanhahanhasss
1 iwswsisaioowwwiwassoioswowwwasooiaoooawoaawwowiooioawioaawaaiiiwssosoawswiiwoswiwiwiwowoossisosi,anhhaahaaasaasaahhaasasanhnnnnssnaashshsaaaasaahannsnnnhaananhhanhhsansaaasshaahsashaaahanahsssh
2 iaassoiaoassasiaawwissiaiaaawwisoiaawissioiiaswssawwiiassaaiaiiissssoaiaaaassaasoawiaiiasiwwaiaw,hhahaaansaaahahhahssnnsaaaashanahnasaasnsaaanhhnhnnhnahhhsshasnsasanassaasasansaashansnnshssaaan
3 sisawaoowiaaosawaossoaiwawiwiaaisowosssaiswaiwswioaosasoawssiwwioiwiaoisaaiwaaowiaowwiiiooswsoao,ansaanashaaahasannashshhannnaaaaaaaaaaaaashnaanhahnhhannhahhnassnhsahsahaahsnhaananhaaashhsaaasa
4 iisasssoiisooawaaiwiiowawsawssasaoawiaawssiswiawwisiiawswsowssswisoiiioiiwiaaasooasoisaaswwwioao,asnhhaaanhnahhasnahnaaaannahsnnsssaaasnnahhanasnaaaaaashsnnaaasshssananasahsasanshnhaaanaashnsnn
5 wwwwsoowwiiwassaswooswiswsoiooswowaasawwosooowsooaowsossiawiowowowwoiiaiiawaaoiswswsoiisiwaoiwaw,haahanahaahaaahsaaaaashanhnasnhhanhsshnhsaaaahnnsnhshanaasashhhaasnhhasaaashannaaaahaaaaaaanahaa
6 saawsowsasowaowwoaaisswwsssooswiowaiswosswwwiiiiisisisswiswaiisoaaoswwoasoioawssaoiwwwiosasiwasa,nhssahnaaannaasaanhshhhaanhaanshaananansahaahnnaaaaahhhnaaahnnnaasnannnnsnsnananssaaahasnanahaaa
7 oaoiwiwwswoisosiwwssoiawwaiwsiwsoisasiwwaswoowoosowaiwisiiasaaiaasaaiwiaaawooaiaasaooswwwawssoos,ahaaahaaasaassaaahasahnaahnnansaahnssaaaasasaasshnhnssaaaaahahanhhahsaashaannshsaahnanaaashsaaah
8 ioioawisiiwaossiiswoaswsowwasooaaiasswsaaawwiaawwwisssiawaosiooawiawowwsoaiswiwsowiwowssiaowssaa,hhnnnnaasaasanahnhhsasnnhhaannasaahahshnhnnaanaahaaaashhanshansnhnsahsahhhnanasaanssnasahasnnnas
9 aooswwsisiiososwwiwiwoswoswwoswoaiiowooawwsisiiwowswaaiaowoiiaaoiisoaiswwaiiiwooososiwiiiaswsiis,aahhsanaaaaaaashaaahnassasasnnnnnnnnnaaanaansnsnhasnnhnhaasaaaanahhnhhasaaannhsahhhhsahnaasannsh
10 osaiawsosaasaaiwsaiisiawsoiiwawiiiioiwooiioosiawooioosoowsiowaooasiisowwoasiiwassoowiaiawwwawias,ahannshahhsannnnahshhhshhaaaahnnshsashaaanahaashhnassaaannnnanaaaaaaahnanshaaaahsasnsaanasaaahsn
1 wwwossoawowawaaosoiiwoasoswaiwaawisiiwwawiossasswwisooioosoassaossawsswiswaowoswaaasisas,aahahhaansnasasnhasahnhnanshsnsaaaasahhssnnsahshsnahaanashsanaanaaasahnasaahaaaansnasnas
2 wiwaassoiawaiaaiiaawowoswwowowasasiswsisiwoaoioisswwsoiwiaasassooiiiwiiwiwsiswssioiiaias,nhnhaassaahnsanshssaaahsannahaansaanasnanaasasaasaahaasnanhhaaanasahaashaahahaannshsnass
3 wawooaaiioawowwwoasoswisaswwoooowwasssiooasooaisisiwooioowaisiwaiaisiiwiswosaiwaosowisiw,hanahaaanahanshhaanhhnnahsnnaannnaaaahhnnaaaaaahaaaahasnahsaaahassshnaaansnaahaahhasassn
4 iiasiaosiawawisiiasawiaiowwwiossiiioisiwwaoioosiaswawwowsaooowwsaawoioaiiiwaasaowwiaosww,nnhaanshnanasnhsannaaaasanhasshahsahnsnhnaaaaanassahaanhsshhnhaasasaahasanhnhhnaahannaha
5 wisswaoisoaoooaassoiwoowossiowssaioawaawasaswooosaisaaoaossssawiioisiwssisosiosowsoaiiao,sahhahaaassasnnnsnannnssaashhsanssansanaaasanhsanaaasnaanahashnnnahhhshasanasasaaashhaha
6 swosisasoaoiisawaasssswisowiiwswwwiiawiiowoowsawiiwaoosaiawsaiowoiaaiwoswwaaiwasassiwwwi,nanssahhnsannnasaaahssahnshnahssahnssnsaahaaaanhnaahshsasssnhsnaaahsnsanaahassnhnasshnnh
7 iaosawaiswioisoswsoaowiwiwisswiaaasiiwwaswswsoswaiiwwsiasaioawisoaasaosissoisiiioawiasaw,hshnsaasshaasasshananaaasahahnsnahnashsnshnaaassaassshshaanaaaashanhsansasnahshnaaaaahsh
8 iowswswaaoswwwiawaiaooosaswiwiwioisasoiowosiioaiiowoiaiosaaaaissaoosawowoaaaaaswoiaiiwia,hshanaaasaanassnasnaaashansssssanahssssaaansasannanassnasshsnahhahhnshnanaahhahsassnhsan
9 wsowsawwsssoosoooawwsiwooowsaiaoosoaiaosaaaawsiwiaiiaswawaiossasoawwoiisooiwoaoiossooosw,nhsahhhnaahnananhssshshssaanannnhasanhaanhhnhsanhahnnhaahahnanhhahsaaaahhahhaahaanahnsnn
10 iassooiowioawwaiwaiwsisiiiiiiwwiaiiwaiwaaaiiwiwiiiowwwaswsssoawowsaioawswawiwooaiaawwowi,hnssnasahsasaaahnhaaaansnsnhhnnhnhaansahaasasnanshhaahansanhasahahaaanahhhnasaanahnshhns
